"adverb_type","part1","part2","Year","Sex","Class","Role"
"other","very","good",1725,"m","Higher class","lawyer"
"other","very","ill",1730,"f","Higher class","witness"
"other","very","proper",1731,"m","Higher class","witness"
"other","very","certain",1732,"m","Higher class","victim"
"other","very","windy",1732,"m","Higher class","victim"
"other","very","dangerous",1732,"f","Higher class","witness"
"other","so","bad",1732,"f","Higher class","witness"
"other","very","strange",1732,"m","Higher class","lawyer"
"other","very","well",1732,"m","Higher class","lawyer"
"other","so","kind",1732,"m","Higher class","lawyer"
"other","too","great",1732,"m","Higher class","lawyer"
"other","more","instant",1732,"m","Higher class","lawyer"
"other","very","proper",1732,"m","Higher class","judge"
"other","very","strange",1732,"m","Higher class","judge"
"other","so","curious",1732,"m","Higher class","judge"
"other","so","fair",1732,"m","Higher class","judge"
"other","very","strange",1732,"m","Higher class","judge"
"other","very","ill",1732,"m","Higher class","judge"
"other","very","knavish",1732,"m","Higher class","judge"
"other","so","light",1732,"m","Higher class","judge"
"other","all","false",1732,"m","Higher class","judge"
"other","very","odd",1732,"m","Higher class","judge"
"other","so","dark",1732,"m","Higher class","victim"
"other","so","free",1732,"m","Higher class","defendant"
"other","very","honest",1732,"m","Higher class","witness"
"other","very","small",1732,"m","Higher class","witness"
"other","very","strange",1732,"m","Higher class","witness"
"ly ending","extremely","troublesome",1732,"f","Higher class","witness"
"other","most","tender",1732,"m","Lower class","witness"
"other","so","good",1732,"m","Lower class","witness"
"other","stark","naked",1732,"f","Lower class","witness"
"other","much","worse",1732,"f","Lower class","witness"
"other","so","bad",1732,"f","Lower class","witness"
"other","very","honest",1732,"f","Lower class","victim"
"other","too","late",1732,"f","Lower class","victim"
"other","so","pressing",1732,"m","Lower class","witness"
"other","very","dutiful",1732,"f","Lower class","witness"
"other","very","honest",1732,"m","Higher class","witness"
"other","too","hard",1732,"m","Higher class","witness"
"other","very","unlikely",1732,"m","Lower class","witness"
"other","very","glad",1732,"m","Higher class","witness"
"other","very","presumptuous",1732,"m","Higher class","witness"
"other","stark","naked",1732,"m","Higher class","witness"
"other","so","miserable",1732,"f","Lower class","victim"
"other","very","well",1732,"m","Lower class","victim"
"other","so","dark",1732,"m","Lower class","witness"
"other","very","sudden",1733,"m","Higher class","witness"
"other","very","offensive",1733,"m","Higher class","witness"
"other","very","bad",1733,"f","Higher class","witness"
"other","so","particular",1733,"m","Higher class","lawyer"
"other","very","sure",1733,"m","Higher class","judge"
"other","very","fair",1733,"m","Higher class","judge"
"other","so","bad",1733,"m","Higher class","judge"
"other","very","odd",1733,"m","Higher class","judge"
"other","very","odd",1733,"m","Higher class","judge"
"other","very","cautious",1733,"m","Higher class","judge"
"other","very","willing",1733,"m","Higher class","judge"
"other","very","decent",1733,"m","Higher class","judge"
"other","so","likely",1733,"m","Higher class","judge"
"other","so","weak",1733,"m","Higher class","judge"
"other","so","violent",1733,"m","Higher class","judge"
"other","very","strong",1733,"m","Higher class","judge"
"other","very","regular",1733,"m","Higher class","witness"
"other","very","hard",1733,"m","Higher class","witness"
"other","very","sorry",1733,"f","Higher class","witness"
"other","very","honest",1733,"f","Higher class","witness"
"other","very","honest",1733,"f","Higher class","witness"
"other","very","great",1733,"m","Higher class","witness"
"other","very","heavy",1733,"m","Higher class","victim"
"other","so","strong",1733,"m","Higher class","victim"
"other","very","dangerous",1733,"m","Higher class","victim"
"other","very","sad",1733,"m","Higher class","victim"
"other","so","close",1733,"m","Higher class","victim"
"other","quite","sober",1733,"m","Higher class","witness"
"ly ending","thoroughly","merry",1733,"m","Higher class","witness"
"other","very","like",1733,"f","Higher class","witness"
"other","very","dirty",1733,"f","Higher class","witness"
"other","very","honest",1733,"f","Higher class","witness"
"other","very","maggotly",1733,"f","Higher class","witness"
"other","very","honest",1733,"f","Higher class","person"
"other","very","civil",1733,"m","Higher class","witness"
"other","very","honest",1733,"m","Higher class","witness"
"other","very","orderly",1733,"m","Higher class","victim"
"other","so","good",1733,"f","Lower class","witness"
"other","so","weak",1733,"f","Lower class","witness"
"other","very","fair",1733,"f","Lower class","witness"
"other","too","cold",1733,"m","Lower class","witness"
"other","very","sure",1733,"m","Higher class","witness"
"other","very","good",1733,"m","Higher class","witness"
"other","more","bad",1733,"m","Higher class","witness"
"other","most","an-",1733,"m","Lower class","witness"
"other","very","intimate",1733,"m","Lower class","defendant"
"other","so","good",1733,"m","Lower class","defendant"
"other","so","drunk",1733,"m","Lower class","defendant"
"other","very","sober",1733,"m","Lower class","witness"
"other","more","large",1733,"m","Lower class","victim"
"other","very","busy",1733,"m","Lower class","witness"
"other","very","intimate",1733,"m","Lower class","victim"
"other","very","barbarous",1733,"m","Lower class","witness"
"other","so","sore",1733,"m","Lower class","witness"
"other","very","sober",1733,"m","Lower class","witness"
"other","too","heavy",1733,"m","Lower class","defendant"
"other","very","close",1733,"f","Lower class","witness"
"other","too","late",1733,"m","Lower class","witness"
"other","so","disordered",1733,"m","Lower class","defendant"
"other","so","good",1733,"m","Lower class","victim"
"ly ending","extremely","ill",1734,"m","Higher class","witness"
"other","quite","round",1734,"m","Higher class","witness"
"other","very","ill",1734,"m","Higher class","witness"
"other","very","black",1734,"m","Higher class","witness"
"other","so","large",1734,"f","Higher class","witness"
"other","very","strange",1734,"m","Higher class","judge"
"other","very","strange",1734,"m","Higher class","judge"
"other","very","unaccountable",1734,"m","Higher class","judge"
"other","very","heinous",1734,"m","Higher class","judge"
"other","so","fearful",1734,"m","Higher class","judge"
"other","so","great",1734,"m","Higher class","judge"
"other","so","drunk",1734,"m","Higher class","judge"
"other","very","ill",1734,"m","Higher class","witness"
"other","very","ill",1734,"f","Higher class","witness"
"ly ending","vastly","clean",1734,"f","Higher class","witness"
"other","so","easy",1734,"m","Higher class","witness"
"other","more","cool",1734,"m","Higher class","witness"
"other","very","friendly",1734,"f","Higher class","witness"
"other","very","honest",1734,"m","Higher class","witness"
"other","very","good",1734,"m","Higher class","witness"
"other","so","positive",1734,"m","Higher class","victim"
"other","very","sorry",1734,"m","Lower class","defendant"
"other","so","outrageous",1734,"m","Higher class","witness"
"other","very","sure",1734,"m","Higher class","witness"
"other","very","heedless",1734,"m","Lower class","victim"
"other","too","late",1734,"m","Lower class","witness"
"other","so","angry",1734,"m","Lower class","witness"
"other","so","ill",1734,"m","Lower class","victim"
"other","so","tender",1735,"m","Higher class","witness"
"other","much","finer",1735,"m","Higher class","lawyer"
"other","very","expensive",1735,"m","Higher class","lawyer"
"other","so","light",1735,"m","Higher class","judge"
"other","very","particular",1735,"m","Higher class","judge"
"other","so","drunk",1735,"f","Higher class","witness"
"other","very","wet",1735,"m","Higher class","witness"
"other","very","honest",1735,"m","Higher class","witness"
"other","very","hard",1735,"m","Higher class","victim"
"other","very","civil",1735,"m","Higher class","witness"
"other","very","honest",1735,"m","Higher class","witness"
"other","very","faithfull",1735,"m","Higher class","witness"
"other","very","good",1735,"f","Higher class","witness"
"other","very","rude",1735,"f","Higher class","witness"
"other","very","sure",1735,"f","Higher class","witness"
"other","very","full",1735,"m","Higher class","victim"
"other","very","perverse",1735,"m","Lower class","defendant"
"other","very","uneasy",1735,"f","Lower class","witness"
"other","quite","drunk",1735,"m","Lower class","witness"
"other","very","good",1735,"f","Lower class","witness"
"other","very","opprobious",1735,"m","Higher class","witness"
"other","very","dry",1735,"m","Lower class","victim"
"other","very","uneasy",1735,"m","Lower class","defendant"
"other","so","mighty",1735,"m","Lower class","victim"
"other","very","good",1735,"m","Lower class","victim"
"other","very","true",1735,"m","Lower class","witness"
"other","so","poor",1735,"m","Lower class","defendant"
"other","very","unfit",1736,"m","Higher class","witness"
"other","so","kind",1736,"m","Higher class","lawyer"
